Campaign,Campaign type,Campaign daily budget,Languages,Networks,Bid strategy type,Maximum CPC bid limit,Campaign status,Ad group,Ad group status,Keyword,Match type,Type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Comment
SE | Search | VVS | Gratis samtalsaudit | 30D,Search,131.50,sv;en,Google Search,Maximize clicks,60,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paused placeholder. Set 4,000 SEK total budget and CPC formula after Keyword Planner."
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,svarsservice företag,Phrase,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,svarstjänst företag,Exact,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,svarstjänst företag,Phrase,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,telefonsvarare företag,Exact,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,telefonsvarare företag,Phrase,,Paused,https://www.leadmap.se/missade-samtal-audit,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,Missade samtal,Paused,,,Responsive search ad,Paused,https://www.leadmap.se/missade-samtal-audit,audit,vvs,Missa inte nästa VVS-jobb,AI-telefonist för VVS,Gratis samtalsaudit,Svarar när ni jobbar,Behåll ert telefonnummer,Pilot på 7 dagar,Från 2 900 kr/mån,Svensktalande AI,Kvalificera varje samtal,Få nästa steg direkt,Svar även efter stängning,Se ett VVS-samtal,Kom igång på 7 dagar,30 dagars uppsägning,För VVS-företag i Sverige,"Leadmap svarar när ni är ute på jobb eller har stängt. Få en gratis samtalsaudit.","Kvalificera VVS-samtal och få nästa steg direkt. Ni behåller ert telefonnummer.","Börja med en 7-dagars pilot. Från 2 900 kr/mån exkl. moms, plus startavgift.","Se ett tydligt exempel på samtal, överlämning och hur installationen fungerar.",Pin Headline 1 only
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,,,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai telefonist,Exact,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai telefonist,Phrase,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai receptionist,Exact,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai receptionist,Phrase,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai svarstjänst,Exact,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai svarstjänst,Phrase,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,virtuell receptionist,Exact,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,virtuell receptionist,Phrase,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,automatisk telefonist,Exact,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,automatisk telefonist,Phrase,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai telefonist vvs,Exact,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai telefonist vvs,Phrase,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,telefonpassning vvs,Exact,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,telefonpassning vvs,Phrase,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai receptionist hantverkare,Exact,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,ai receptionist hantverkare,Phrase,,Paused,https://www.leadmap.se/anvandningsfall/vvs,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,Paused,AI-telefonist,Paused,,,Responsive search ad,Paused,https://www.leadmap.se/anvandningsfall/vvs,ai-telefonist,vvs,AI-telefonist för VVS,Missa inte nästa VVS-jobb,Gratis samtalsaudit,Svarar när ni jobbar,Behåll ert telefonnummer,Pilot på 7 dagar,Från 2 900 kr/mån,Svensktalande AI,Kvalificera varje samtal,Få nästa steg direkt,Svar även efter stängning,Se ett VVS-samtal,Kom igång på 7 dagar,30 dagars uppsägning,För VVS-företag i Sverige,"Leadmap svarar när ni är ute på jobb eller har stängt. Få en gratis samtalsaudit.","Kvalificera VVS-samtal och få nästa steg direkt. Ni behåller ert telefonnummer.","Börja med en 7-dagars pilot. Från 2 900 kr/mån exkl. moms, plus startavgift.","Se ett tydligt exempel på samtal, överlämning och hur installationen fungerar.",Pin Headline 1 only
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,receptionist jobb,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,telefonist jobb,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,receptionist lön,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,telefonist lön,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,utbildning receptionist,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,praktik receptionist,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,chatgpt,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,open source,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,kundtjänst telefonnummer,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,rörmokare nära mig,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,vvs jour,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,vattenläcka,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,stopp i avlopp,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,badrumsrenovering,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | VVS | Gratis samtalsaudit | 30D,,,,,,,,,värmepump,,Campaign negative,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
